ITEM_CD,ITEM_NM,COURSE_NM,TROBL_TY_NM,BEGIN_TM,END_TM,POSBL_WKDAY_FLAG_CD,COURSE_DETAIL_CN,SUPLI_SLE_AT,SETLE_PRICE
"01","검도","검도",,"160000","195000","1111000",,"N","90000.00000"
"01","검도","검도기본기,본국검법,조선세법 등",,"165000","215500","1111100","기초과정은 개인지도 기초과정 끝나면 
어울림 수업으로 진행합니다.
(수업시간조정 협의가능)

주4,5회 등록은 본인부담금60,000원 입니다.
주3회 등록은 본인부담금 40,000원 입니다.
주2회 등록은 본인부담금 30,000원 입니다.

부가비용
도복(면)한벌60,000원
상의만기능성한벌70,000원
상하의기능성 한벌80,000원

죽도 
초등30,000원
중학이상35,000원

나눔죽도 무료","N","110000.00000"
"01","검도","검도의 기본 및 실기, 검도의 본, 본국검법",,"150000","210000","1111110",,"N","110000.00000"
"01","검도","검도의 기본 및 실기, 검도의 본, 본국검법",,"030000","100000","1111110",,"N","110000.00000"
"01","검도","인성 및 검도 기본기, 대련훈련",,"060000","065000","1111100","바우처결제시 60,000월 별도 결제입니다.(수업 일수에 따라 금액이 차이가 있습니다)","N","110000.00000"
"01","검도","청소년검도교실",,"153000","203000","1111100",,"N","110000.00000"
"01","검도","검도 교실",,"200000","213000","1010100","&quot; 꼭~ 한번 배우고 싶었던 검도! 망설이지 말고 지금 시작하세요.&quot;   

남,녀,노,소 누구나 가능","N","110000.00000"
"01","검도","대한검도",,"150000","210000","1111100","수업료 4만원 별도 결제","N","110000.00000"
"01","검도","검도",,"133000","143000","0010000",,"N","110000.00000"
"01","검도","검도 - 택견 - 태극봉",,"110000","123000","0101100",,"N","140000.00000"
"01","검도","검도",,"160000","210000","1111100",,"N","95000.00000"
"01","검도","검도",,"160000","210000","1111100",,"N","85000.00000"
"01","검도","여천검도관",,"033000","090000","1111100",,"N","110000.00000"
"01","검도","해동검도",,"030000","080000","1111100",,"N","110000.00000"
"01","검도","검도 및 스포츠",,"140000","200000","1111100",,"N","95000.00000"
"01","검도","검도",,"103000","213000","1111100",,"N","110000.00000"
"01","검도","검도",,"150000","200000","1111100",,"N","110000.00000"
"01","검도","여천검도관",,"153000","200000","1111100",,"N","95000.00000"
"01","검도","여천검도관",,"153000","200000","1111100",,"N","85000.00000"
"01","검도","검도",,"153000","213000","1111100","동인검도관은 안동시장애인검도회입니다.","N","95000.00000"
"01","검도","검도수련",,"160000","213000","1111100","관장 직접 일대일 성심지도","N","150000.00000"
"01","검도","검도이론 및 실기 본국검법",,"150000","210000","1111100",,"N","95000.00000"
"01","검도","검도이론 및 본국검법",,"150000","220000","1111100",,"N","85000.00000"
"01","검도","검도실기,검도이론,본국검법",,"150000","210000","1111100",,"N","110000.00000"
"01","검도","검도수련및 키크기체조",,"140000","150000","1111100",,"N","95000.00000"
"01","검도","검도",,"064000","210000","1111100",,"N","110000.00000"
"01","검도","검도의본과검도실기",,"040000","093000","1111100",,"N","150000.00000"
"01","검도","검도",,"140000","192000","1111100",,"N","200000.00000"
"01","검도","검도",,"100000","103000","1111100",,"N","110000.00000"
"01","검도","검도",,"140000","200000","0010000",,"N","110000.00000"
"01","검도","기본동작, 본국검법, 검도의본",,"020000","210000","0111000",,"N","180000.00000"
"01","검도","옥천향수검도",,"150000","160000","1111110",,"N","100000.00000"
"01","검도","검도수련및 키크기체조",,"140000","150000","1111100",,"N","95000.00000"
"01","검도","검도수련",,"100000","150000","1111100",,"N","110000.00000"
"01","검도","검도",,"200000","210000","1111100",,"N","110000.00000"
"01","검도","검도",,"152000","220000","1111100","개인부담금 주5회 4만원, 주3회 3만원 별도로 있는 강좌임을 참고 바랍니다.
수련시간은 1부:3시20분~ /  2부:5시~ /  3부:6시40분~ /  4부:8시10분~  /  5부:9시10분~ 입니다.
이중 편한 시간대로 선택 가능합니다.
신규수련생은 검도관으로 먼저 문의 바랍니다.","N","110000.00000"
"01","검도","검도",,"173000","181000","1111100",,"N","120000.00000"
"01","검도","검도개인지도",,"190000","201000","1001000",,"N","100000.00000"
"01","검도","검도개인지도",,"190000","201000","1010100",,"N","110000.00000"
"01","검도","검도 기본",,"190000","203000","1111100",,"N","140000.00000"
"01","검도","검도",,"130000","180000","1111110","전화 상담후 방문 가능합니다","N","110000.00000"
"01","검도","인성 및 검도 기본기, 대련훈련",,"033000","042000","1111110","바우처 결제시 60,000원 별도 결제입니다.(수업 일수에 따라 금액 차이가 있습니다)","N","110000.00000"
"01","검도","김선미사범 개인지도",,"110000","213000","1111100","총수련료는 140,000원입니다
지원금 110,000원 + 자기부담금(30,000원) 
체육관(마루바닥) 내 휠체어 사용 불가합니다
 여성사범 안심지도","N","110000.00000"
"01","검도","인성 및 검도 기본기, 대련훈련",,"043000","052000","1111110","바우처 결제시 60,000원 별도 결제입니다.(수업 일수에 따라 금액 차이가 있습니다)","N","110000.00000"
"01","검도","중앙검도장",,"110000","213000","1111100","총수련료는 140,000원입니다 지원금 110,000원 + 자기부담금(30,000원)  체육관(마루바닥) 내 휠체어 사용 불가합니다  여성사범 안심지도","N","110000.00000"
"01","검도","해동검도",,"150000","220000","1111100","목검. 가검. 안전검 등을 사용하여 안전하게 진행함. 관비는 지원금 110,000원 + 본인 부담금 20,000원 = 총 130,000원","N","110000.00000"
"01","검도","검도",,"160000","220000","1111100",,"N","110000.00000"
"01","검도","검도수업",,"160000","210000","1111101","개인장비지참
검도관내에 비치 [도복,죽도 구입가능]","N","120000.00000"
"01","검도","인성 및 검도 기본기, 대련훈련",,"033000","042000","1111100","수바우처 결제시 60,000원은 별도로 계산하시면 됩니다(수업 일수에 따라 금액 차이가 있습니다)","N","110000.00000"
"01","검도","검도",,"180000","185000","1111100",,"N","110000.00000"
"01","검도","검도 1부",,"161000","170000","1111100","마지막주 금요일은 휴무입니다.
수련비용의 추가 금액은 별도로 결재 부탁드립니다.","N","170000.00000"
"01","검도","검도",,"060000","220000","1111100","강의시간과 강사분은 변경 될 수 있으니
이용 관련 상세사항은 국민생활관으로 문의 해 주시기 바랍니다. 

문의전화 : 063-839-2828~9","N","18200.00000"
"01","검도","대한검도06A",,"060000","065000","1010100","※ 상담 후 수강신청 가능함 ☎ 02)3423-1070
-장애 등급 중증(1~3급)일 경우 동반 1인이 필요합니다.","N","24000.00000"
"01","검도","검도",,"150000","220000","1100000","주 3회 이상 15만원
주 2회 미만 13만원 
요일 선택은 자유롭게 가능합니다","N","130000.00000"
"01","검도","검도",,"150000","220000","1111100","주 3회 이상 15만원
주 2회 미만 13만원
요일 선택은 자유롭게 가능합니다","N","150000.00000"
"01","검도","꿈꾸는작은화랑(검도교실)",,"150000","160000","0100000",,"N","20000.00000"
"01","검도","검도 3부",,"200000","210000","1111100","마지막주 금요일은 휴무입니다.
수련비용의 추가 금액은 별도로 결재 부탁드립니다.","N","170000.00000"
"01","검도","평택검도관",,"143000","220000","1111100",,"N","110000.00000"
